Pacific Decadal Oscillation (PDO)
Date,Value
200711,-1.25
200712,-0.97
200801,-1.54
200802,-1.38
200803,-1.32
200804,-1.99
200805,-1.91
200806,-1.88
200807,-1.74
200808,-1.80
200809,-1.92
200810,-1.63
200811,-1.33
200812,-1.27
200901,-1.69
200902,-1.73
200903,-1.98
200904,-2.13
200905,-1.32
200906,-0.68
200907,-0.75
200908,-0.32
200909,0.15
200910,-0.09
200911,-0.88
200912,-0.31
201001,0.23
201002,0.15
201003,-0.23
201004,-0.26
201005,-0.32
201006,-0.82
201007,-1.93
201008,-2.26
201009,-2.19
201010,-1.49
201011,-1.51
201012,-1.76
201101,-1.63
201102,-1.50
201103,-1.36
201104,-1.25
201105,-0.83
201106,-1.12
201107,-2.37
201108,-2.29
201109,-2.44
201110,-1.87
201111,-2.88
201112,-2.13
201201,-1.64
201202,-1.29
201203,-1.54
201204,-0.90
201205,-2.07
201206,-1.41
201207,-2.13
201208,-2.32
201209,-2.74
201210,-1.13
201211,-0.54
201212,-1.35
201301,-1.25
201302,-1.65
201303,-1.72
201304,-0.74
201305,-0.57
201306,-1.31
201307,-1.33
201308,-1.48
201309,-1.00
201310,-1.49
201311,-1.09
201312,-1.12
201401,-0.67
201402,-0.62
201403,0.14
201404,0.40
201405,1.04
201406,-0.12
201407,0.15
201408,0.16
201409,0.59
201410,1.35
201411,1.29
201412,1.92
201501,1.73
201502,1.54
201503,1.33
201504,0.99
